data_avg,data_max,data_min,data_std,epoch,lr-AdamW,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_loss,valid_precision,valid_recall,valid_roc_auc
-0.06577611714601517,0.42550942301750183,-0.34346508979797363,0.2277528941631317,37,,3115,0.7877394556999207,0.4448031187057495,,,,,,,,,
,,,,,0.00035201916330144384,3116,,,,,,,,,,,
,,,,38,,3197,,,0.7194444537162781,0.7194444537162781,0.7194444537162781,0.43888887763023376,0.7583732008934021,0.5991799235343933,0.6659663915634155,0.8805555701255798,0.7883719205856323
-0.06574790924787521,0.42492029070854187,-0.3420370817184448,0.22724300622940063,38,,3197,0.7888888716697693,0.44200971722602844,,,,,,,,,
,,,,,0.00034679968213582304,3198,,,,,,,,,,,
,,,,39,,3279,,,0.7222222089767456,0.7194444537162781,0.7194444537162781,0.43888887763023376,0.7362924218177795,0.5635095238685608,0.6945812702178955,0.7833333611488342,0.7915663719177246
-0.06554553657770157,0.42390671372413635,-0.3422441780567169,0.22618992626667023,39,,3279,0.7917624711990356,0.4450299143791199,,,,,,,,,
,,,,,0.0003413538477341441,3280,,,,,,,,,,,
,,,,40,,3361,,,0.7152777910232544,0.7152777910232544,0.7152777910232544,0.4305555522441864,0.7270306348800659,0.5639591813087463,0.6982097029685974,0.7583333253860474,0.7899537086486816
-0.06540405750274658,0.424174040555954,-0.3410708010196686,0.22573691606521606,40,,3361,0.7898467183113098,0.4412536919116974,,,,,,,,,
,,,,,0.00033569005717833236,3362,,,,,,,,,,,
,,,,41,,3443,,,0.7166666388511658,0.7166666388511658,0.7166666388511658,0.4333333373069763,0.7377892136573792,0.5728117227554321,0.6866028904914856,0.7972221970558167,0.7873842716217041
-0.06505047529935837,0.42305025458335876,-0.34055858850479126,0.22495144605636597,41,,3443,0.7871647477149963,0.43911680579185486,,,,,,,,,
,,,,,0.0003298170436229052,3444,,,,,,,,,,,
,,,,42,,3525,,,0.6888889074325562,0.6888889074325562,0.6888889074325562,0.3777777850627899,0.75,0.6636865735054016,0.6268656849861145,0.9333333373069763,0.7896373271942139
-0.06458669900894165,0.423015832901001,-0.33993786573410034,0.22404737770557404,42,,3525,0.7950191497802734,0.4374561905860901,,,,,,,,,
,,,,,0.0003237438628290805,3526,,,,,,,,,,,
,,,,43,,3607,,,0.7041666507720947,0.7041666507720947,0.7041666507720947,0.40833333134651184,0.7502930760383606,0.612546980381012,0.6490872502326965,0.8888888955116272,0.7878009080886841
-0.06487971544265747,0.42082342505455017,-0.34002652764320374,0.2230335921049118,43,,3607,0.7963601350784302,0.4326293468475342,,,,,,,,,
,,,,,0.00031747987920144956,3608,,,,,,,,,,,
,,,,44,,3689,,,0.7055555582046509,0.7055555582046509,0.7055555582046509,0.41111111640930176,0.6997166872024536,0.561102032661438,0.7138728499412537,0.6861110925674438,0.789915144443512
-0.06521440297365189,0.42003804445266724,-0.33879703283309937,0.22258703410625458,44,,3689,0.7913793325424194,0.4375401735305786,,,,,,,,,
,,,,,0.00031103475134874344,3690,,,,,,,,,,,
,,,,45,,3771,,,0.6861110925674438,0.6861110925674438,0.6861110925674438,0.3722222149372101,0.7437641620635986,0.6423208117485046,0.6283524632453918,0.9111111164093018,0.7867361307144165
-0.0654231384396553,0.41948017477989197,-0.33821502327919006,0.22186040878295898,45,,3771,0.7894635796546936,0.4399392604827881,,,,,,,,,
,,,,,0.0003044184171909589,3772,,,,,,,,,,,
,,,,46,,3853,,,0.7013888955116272,0.7013888955116272,0.7013888955116272,0.4027777910232544,0.7542856931686401,0.6384757161140442,0.6407766938209534,0.9166666865348816,0.7892978191375732
-0.06567027419805527,0.41828790307044983,-0.3373434245586395,0.22116343677043915,46,,3853,0.7929118871688843,0.4340114891529083,,,,,,,,,
,,,,,0.00029764107863580573,3854,,,,,,,,,,,
,,,,47,,3935,,,0.7180555462837219,0.7180555462837219,0.7180555462837219,0.43611112236976624,0.752136766910553,0.5867756605148315,0.671023964881897,0.855555534362793,0.7892978191375732
-0.06607680022716522,0.41736578941345215,-0.33645889163017273,0.22060248255729675,47,,3935,0.800000011920929,0.43047815561294556,,,,,,,,,
,,,,,0.00029071318584810476,3936,,,,,,,,,,,
,,,,48,,4017,,,0.7138888835906982,0.7138888835906982,0.7138888835906982,0.4277777671813965,0.7570754885673523,0.6092945337295532,0.6577869057655334,0.8916666507720947,0.7896605134010315
-0.06618016213178635,0.41667863726615906,-0.33633729815483093,0.21983478963375092,48,,4017,0.7965517044067383,0.4330984652042389,,,,,,,,,
,,,,,0.0002836454211363909,4018,,,,,,,,,,,
,,,,49,,4099,,,0.699999988079071,0.699999988079071,0.699999988079071,0.4000000059604645,0.752860426902771,0.6449825763702393,0.6400778293609619,0.9138888716697693,0.7860802412033081
-0.06655914336442947,0.41446566581726074,-0.3354959785938263,0.2185979038476944,49,,4099,0.7932950258255005,0.43466371297836304,,,,,,,,,
,,,,,0.00027644868248156783,4100,,,,,,,,,,,
,,,,50,,4181,,,0.6986111402511597,0.699999988079071,0.699999988079071,0.4000000059604645,0.752860426902771,0.641438901424408,0.6400778293609619,0.9138888716697693,0.7871450781822205
