data_avg,data_max,data_min,data_std,epoch,lr-AdamW,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_loss,valid_precision,valid_recall,valid_roc_auc
0.022133534774184227,0.313201367855072,-0.2118026614189148,0.18420158326625824,54,,4509,0.7026820182800293,0.5586626529693604,,,,,,,,,
,,,,,0.000238924764363092,4510,,,,,,,,,,,
,,,,55,,4591,,,0.6611111164093018,0.6611111164093018,0.6611111164093018,0.3222222328186035,0.7046005129814148,0.6292648911476135,0.6244634985923767,0.8083333373069763,0.7255246639251709
0.021874532103538513,0.31090494990348816,-0.21112458407878876,0.1836191862821579,55,,4591,0.7124521136283875,0.5608121752738953,,,,,,,,,
,,,,,0.0002311929636048966,4592,,,,,,,,,,,
,,,,56,,4673,,,0.6486111283302307,0.6486111283302307,0.6486111283302307,0.29722222685813904,0.7033997774124146,0.6400942206382751,0.6085192561149597,0.8333333134651184,0.7283796072006226
0.021696068346500397,0.3095899522304535,-0.211138054728508,0.18333613872528076,56,,4673,0.7114942669868469,0.5531806349754333,,,,,,,,,
,,,,,0.00022341306679127547,4674,,,,,,,,,,,
,,,,57,,4755,,,0.6694444417953491,0.6694444417953491,0.6694444417953491,0.33888888359069824,0.7111650705337524,0.6252867579460144,0.631465494632721,0.8138889074325562,0.72873455286026
0.020879728719592094,0.3071470558643341,-0.2117977887392044,0.1830475628376007,57,,4755,0.7055555582046509,0.5584977865219116,,,,,,,,,
,,,,,0.00021559706995921723,4756,,,,,,,,,,,
,,,,58,,4837,,,0.6472222208976746,0.6472222208976746,0.6472222208976746,0.2944444417953491,0.7073732614517212,0.6481507420539856,0.6043307185173035,0.8527777791023254,0.7269444465637207
0.020711788907647133,0.30511197447776794,-0.21212920546531677,0.18262401223182678,58,,4837,0.7132183909416199,0.5565623641014099,,,,,,,,,
,,,,,0.00020775702480932203,4838,,,,,,,,,,,
,,,,59,,4919,,,0.6416666507720947,0.6416666507720947,0.6416666507720947,0.28333333134651184,0.7081447839736938,0.6584132313728333,0.597328245639801,0.8694444298744202,0.7281018495559692
0.02079474739730358,0.3049900233745575,-0.21240057051181793,0.1826772391796112,59,,4919,0.7105364203453064,0.5524638295173645,,,,,,,,,
,,,,,0.00019990502012295328,4920,,,,,,,,,,,
,,,,60,,5001,,,0.6458333134651184,0.6458333134651184,0.6458333134651184,0.2916666567325592,0.703832745552063,0.6459930539131165,0.6047903895378113,0.8416666388511658,0.7257947325706482
0.02074013277888298,0.30457019805908203,-0.21331670880317688,0.18297292292118073,60,,5001,0.7067049741744995,0.5565765500068665,,,,,,,,,
,,,,,0.0001920531631222126,5002,,,,,,,,,,,
,,,,61,,5083,,,0.6611111164093018,0.6611111164093018,0.6611111164093018,0.3222222328186035,0.7081339955329895,0.6311421990394592,0.6218487620353699,0.8222222328186035,0.7280169725418091
0.020483246073126793,0.30237799882888794,-0.21242067217826843,0.182518869638443,61,,5083,0.7088122367858887,0.555860698223114,,,,,,,,,
,,,,,0.0001842135608014813,5084,,,,,,,,,,,
,,,,62,,5165,,,0.6430555582046509,0.6430555582046509,0.6430555582046509,0.28611111640930176,0.70561283826828,0.6557976007461548,0.600389838218689,0.855555534362793,0.7259953618049622
0.020543813705444336,0.30179691314697266,-0.21236512064933777,0.1822238564491272,62,,5165,0.7141762375831604,0.5548697710037231,,,,,,,,,
,,,,,0.00017639830125931226,5166,,,,,,,,,,,
